,"w=0.7,a1=1.6,a2=0.6"
0,38.87419272427351
1,34.379553939374745
2,31.91742914328338
3,29.617366063735357
4,26.472585442726142
5,24.363788539295157
6,22.807778426133495
7,21.128940335414597
8,20.430952795632873
9,19.538845236714778
10,18.332603326143463
11,17.9701189057318
12,17.53786629133039
13,16.52242612433662
14,15.680234239885468
15,14.818196868749276
16,14.46654810847487
17,13.754539202782588
18,13.326070596852544
19,12.635931832997013
20,12.266164212155244
21,11.612424614571433
22,11.425394795192226
23,11.267067947016594
24,10.855321837679401
25,10.513576412972226
26,10.216248054815695
27,9.782733193015211
28,9.715498770030187
29,9.383825449363242
30,9.06317598789639
31,9.051565895712903
32,8.721465838067097
33,8.721465838067097
34,8.480912656838031
35,8.215558940709615
36,8.066623373382118
37,8.066623373382118
38,7.780473400288572
39,7.780473400288572
40,7.780473400288572
41,7.631646047323029
42,7.443214588871628
43,7.34952179555469
44,7.125426766778656
45,7.125426766778656
46,7.028585447130456
47,6.9864972163587655
48,6.890248980531919
49,6.783115761797006
50,6.700250748767446
51,6.453001138260761
52,6.258603894474275
53,6.111584093166389
54,6.061233989374559
55,5.9864029669602
56,5.9864029669602
57,5.9864029669602
58,5.979298153299366
59,5.939139023073746
60,5.896805667969754
61,5.8274701347332085
62,5.544375619088308
63,5.544375619088308
64,5.544375619088308
65,5.421952651871494
66,5.388081622068656
67,5.381700823541183
68,5.381700823541183
69,5.381700823541183
70,5.381700823541183
71,5.361154872209393
72,5.361154872209393
73,5.2733657057190415
74,5.213907226716406
75,5.204399531865891
76,5.197652230044089
77,5.17163361014189
78,5.1104099658026
79,5.1089296054196165
80,5.103847035804266
81,5.062604444044326
82,4.792030745083039
83,4.7765370098335875
84,4.726431481598085
85,4.71891628224837
86,4.715441674338425
87,4.715441674338425
88,4.715441674338425
89,4.715441674338425
90,4.651598609371047
91,4.651598609371047
92,4.550377345330544
93,4.550377345330544
94,4.550377345330544
95,4.550377345330544
96,4.550377345330544
97,4.550377345330544
98,4.550377345330544
99,4.512585228756846
100,4.468507374146569
101,4.4599029382613065
102,4.301604302261992
103,4.294071099311001
104,4.231731266163495
105,4.231731266163495
106,4.205966639215005
107,4.205966639215005
108,4.198405725013995
109,4.183702077468978
110,4.157828246633093
111,4.152598192852759
112,4.124952542901374
113,4.0755703400186425
114,4.0755703400186425
115,4.0755703400186425
116,4.066027966231677
117,4.066027966231677
118,4.066027966231677
119,4.066027966231677
120,4.051097141584533
121,4.051097141584533
122,3.9401567557776236
123,3.893563024418166
124,3.893563024418166
125,3.893563024418166
126,3.7579151580910537
127,3.7579151580910537
128,3.73543824312934
129,3.73543824312934
130,3.709413018910312
131,3.57741223053019
132,3.57741223053019
133,3.572915299300915
134,3.478500671398368
135,3.478500671398368
136,3.478500671398368
137,3.478500671398368
138,3.478500671398368
139,3.454302634801653
140,3.454302634801653
141,3.4266302218592135
142,3.3417037012396955
143,3.3276300527832934
144,3.3276300527832934
145,3.280672550223967
146,3.280672550223967
147,3.250754443725855
148,3.250754443725855
149,3.250754443725855
150,3.250754443725855
151,3.250754443725855
152,3.250754443725855
153,3.250754443725855
154,3.250754443725855
155,3.250754443725855
156,3.2208193090513544
157,3.2208193090513544
158,3.2208193090513544
159,3.2208193090513544
160,3.2208193090513544
161,3.2208193090513544
162,3.2208193090513544
163,3.2208193090513544
164,3.189766134275119
165,3.189766134275119
166,3.12619656742339
167,3.088689555839445
168,3.088689555839445
169,3.0267859989376533
170,2.999534378391309
171,2.999534378391309
172,2.999534378391309
173,2.999534378391309
174,2.974693939833928
175,2.974693939833928
176,2.9466578321570456
177,2.9466578321570456
178,2.9466578321570456
179,2.9466578321570456
180,2.9466578321570456
181,2.9466578321570456
182,2.908323786140243
183,2.908323786140243
184,2.908323786140243
185,2.908323786140243
186,2.908323786140243
187,2.8890645502939107
188,2.8890645502939107
189,2.8357204404578003
190,2.8357204404578003
191,2.817643633485467
192,2.809890854798606
193,2.809890854798606
194,2.8065993804415412
195,2.8065993804415412
196,2.8065993804415412
197,2.8065993804415412
198,2.8065993804415412
199,2.8065993804415412
200,2.8065993804415412
201,2.7550725896522
202,2.7550725896522
203,2.7550725896522
204,2.702479773577636
205,2.702479773577636
206,2.67591252768526
207,2.615624126338746
208,2.615624126338746
209,2.615624126338746
210,2.615624126338746
211,2.615624126338746
212,2.615624126338746
213,2.615624126338746
214,2.615624126338746
215,2.5543342414478114
216,2.5543342414478114
217,2.5543342414478114
218,2.5543342414478114
219,2.5543342414478114
220,2.531328852057508
221,2.531328852057508
222,2.531328852057508
223,2.531328852057508
224,2.531328852057508
225,2.531328852057508
226,2.531328852057508
227,2.531328852057508
228,2.531328852057508
229,2.4939627164570055
230,2.4939627164570055
231,2.4835966243124616
232,2.4835966243124616
233,2.4835966243124616
234,2.469748629909005
235,2.469748629909005
236,2.469748629909005
237,2.4639329241094567
238,2.4639329241094567
239,2.4639329241094567
240,2.45968793886343
241,2.4018055501500757
242,2.4018055501500757
243,2.4018055501500757
244,2.3903247400333867
245,2.3903247400333867
246,2.3903247400333867
247,2.3903247400333867
248,2.310812688520081
249,2.310812688520081
250,2.310812688520081
251,2.29490654450266
252,2.29490654450266
253,2.29490654450266
254,2.29490654450266
255,2.2548363526433395
256,2.2548363526433395
257,2.2524911520720137
258,2.2524911520720137
259,2.2391811412315112
260,2.2391811412315112
261,2.2391811412315112
262,2.2391811412315112
263,2.2391811412315112
264,2.2391811412315112
265,2.1967971466477363
266,2.1967971466477363
267,2.1967971466477363
268,2.1967971466477363
269,2.1967971466477363
270,2.1967971466477363
271,2.1967971466477363
272,2.1967971466477363
273,2.1967971466477363
274,2.1967971466477363
275,2.1967971466477363
276,2.1967971466477363
277,2.1967971466477363
278,2.1967971466477363
279,2.1967971466477363
280,2.1967971466477363
281,2.1967971466477363
282,2.1967971466477363
283,2.1967971466477363
284,2.1967971466477363
285,2.1967971466477363
286,2.1967971466477363
287,2.1967971466477363
288,2.1967971466477363
289,2.1967971466477363
290,2.1967971466477363
291,2.1967971466477363
292,2.1967971466477363
293,2.1967971466477363
294,2.1967971466477363
295,2.1967971466477363
296,2.1967971466477363
297,2.1967971466477363
298,2.1967971466477363
299,2.1967971466477363
300,2.1967971466477363
301,2.1967971466477363
302,2.1967971466477363
303,2.1967971466477363
304,2.1967971466477363
305,2.1967971466477363
306,2.1934485303488698
307,2.1934485303488698
308,2.1934485303488698
309,2.1934485303488698
310,2.1934485303488698
311,2.1934485303488698
312,2.1866547046105356
313,2.1866547046105356
314,2.1866547046105356
315,2.1866547046105356
316,2.1866547046105356
317,2.1866547046105356
318,2.1866547046105356
319,2.1866547046105356
320,2.1866547046105356
321,2.1326856830243885
322,2.1326856830243885
323,2.1326856830243885
324,2.1326856830243885
325,2.1326856830243885
326,2.1326856830243885
327,2.1326856830243885
328,2.1326856830243885
329,2.1326856830243885
330,2.1326856830243885
331,2.1326856830243885
332,2.1326856830243885
333,2.1326856830243885
334,2.1326856830243885
335,2.1326856830243885
336,2.1326856830243885
337,2.1326856830243885
338,2.1326856830243885
339,2.1326856830243885
340,2.1083289742780496
341,2.1083289742780496
342,2.1083289742780496
343,2.1083289742780496
344,2.1083289742780496
345,2.094933849966002
346,2.094933849966002
347,2.094933849966002
348,2.094933849966002
349,2.094933849966002
350,2.094933849966002
351,2.094933849966002
352,2.082931992925206
353,2.082931992925206
354,2.082931992925206
355,2.082931992925206
356,2.0438604997543615
357,2.0438604997543615
358,2.0438604997543615
359,2.0438604997543615
360,2.0438604997543615
361,2.040963991498368
362,2.040963991498368
363,2.040963991498368
364,2.040963991498368
365,2.040963991498368
366,2.040963991498368
367,2.040963991498368
368,2.040963991498368
369,2.040963991498368
370,2.040963991498368
371,2.040963991498368
372,2.040963991498368
373,2.040963991498368
374,2.040963991498368
375,2.040963991498368
376,2.040963991498368
377,2.040963991498368
378,2.040963991498368
379,2.0330731735807075
380,2.026893768736828
381,2.026893768736828
382,2.026893768736828
383,2.026893768736828
384,2.026893768736828
385,2.026893768736828
386,2.025187258322839
387,1.9843396536331792
388,1.9843396536331792
389,1.9843396536331792
390,1.9843396536331792
391,1.9843396536331792
392,1.9843396536331792
393,1.9843396536331792
394,1.9843396536331792
395,1.937822197178673
396,1.937822197178673
397,1.937822197178673
398,1.937822197178673
399,1.937822197178673
400,1.937822197178673
401,1.937822197178673
402,1.937822197178673
403,1.937822197178673
404,1.937822197178673
405,1.937822197178673
406,1.937822197178673
407,1.937822197178673
408,1.937822197178673
409,1.9319418774953978
410,1.9319418774953978
411,1.9319418774953978
412,1.9319418774953978
413,1.9319418774953978
414,1.9319418774953978
415,1.9319418774953978
416,1.9319418774953978
417,1.9319418774953978
418,1.9319418774953978
419,1.9280562874188008
420,1.9280562874188008
421,1.9280562874188008
422,1.9280562874188008
423,1.9280562874188008
424,1.9280562874188008
425,1.9280562874188008
426,1.9280562874188008
427,1.9280562874188008
428,1.9280562874188008
429,1.9280562874188008
430,1.9255548047777948
431,1.9255548047777948
432,1.9255548047777948
433,1.9255548047777948
434,1.9141775605674674
435,1.9141775605674674
436,1.9141775605674674
437,1.9141775605674674
438,1.9141775605674674
439,1.9141775605674674
440,1.9141775605674674
441,1.9141775605674674
442,1.9141775605674674
443,1.9141775605674674
444,1.9141775605674674
445,1.9141775605674674
446,1.900201650853446
447,1.900201650853446
448,1.900201650853446
449,1.900201650853446
450,1.900201650853446
451,1.900201650853446
452,1.900201650853446
453,1.900201650853446
454,1.900201650853446
455,1.900201650853446
456,1.900201650853446
457,1.900201650853446
458,1.900201650853446
459,1.900201650853446
460,1.900201650853446
461,1.900201650853446
462,1.900201650853446
463,1.900201650853446
464,1.900201650853446
465,1.900201650853446
466,1.900201650853446
467,1.900201650853446
468,1.8829685956698414
469,1.8829685956698414
470,1.8737736000219984
471,1.8737736000219984
472,1.8737736000219984
473,1.8737736000219984
474,1.8737736000219984
475,1.8737736000219984
476,1.8663243758036538
477,1.8663243758036538
478,1.8660956044166872
479,1.8660956044166872
480,1.8660956044166872
481,1.8660956044166872
482,1.8660956044166872
483,1.8660956044166872
484,1.8660956044166872
485,1.8660956044166872
486,1.8660956044166872
487,1.8660956044166872
488,1.8660956044166872
489,1.8660956044166872
490,1.8660956044166872
491,1.8660956044166872
492,1.8660956044166872
493,1.8660956044166872
494,1.865779931465662
495,1.8563707818756179
496,1.8563707818756179
497,1.8563707818756179
498,1.8563707818756179
499,1.8563707818756179
500,1.8563707818756179
501,1.8563707818756179
502,1.8353761459211657
503,1.8202998559417385
504,1.8202998559417385
505,1.8202998559417385
506,1.8202998559417385
507,1.8093749152345027
508,1.8093749152345027
509,1.8093749152345027
510,1.8093749152345027
511,1.8093749152345027
512,1.7927982045106
513,1.7927982045106
514,1.7927982045106
515,1.7927982045106
516,1.7927982045106
517,1.7596350032215504
518,1.7588299655051547
519,1.7588299655051547
520,1.7570611807232273
521,1.7570611807232273
522,1.7570611807232273
523,1.7570611807232273
524,1.7570611807232273
525,1.7570611807232273
526,1.7570611807232273
527,1.7570611807232273
528,1.7570611807232273
529,1.7570611807232273
530,1.7570611807232273
531,1.7570611807232273
532,1.7570611807232273
533,1.7570611807232273
534,1.7570611807232273
535,1.7570611807232273
536,1.7570611807232273
537,1.7570611807232273
538,1.7570611807232273
539,1.7570611807232273
540,1.7570611807232273
541,1.7570611807232273
542,1.7570611807232273
543,1.7570611807232273
544,1.7570611807232273
545,1.7570611807232273
546,1.7570611807232273
547,1.7570611807232273
548,1.7570611807232273
549,1.7570611807232273
550,1.7570611807232273
551,1.7570611807232273
552,1.7570611807232273
553,1.7570611807232273
554,1.7570611807232273
555,1.7570611807232273
556,1.7570611807232273
557,1.7570611807232273
558,1.7570611807232273
559,1.7570611807232273
560,1.7570611807232273
561,1.7570611807232273
562,1.7570611807232273
563,1.7570611807232273
564,1.7570611807232273
565,1.7570611807232273
566,1.7570611807232273
567,1.7411688662622913
568,1.7411688662622913
569,1.7324814472954677
570,1.6994550181843968
571,1.6994550181843968
572,1.6994550181843968
573,1.6994550181843968
574,1.6994550181843968
575,1.6994550181843968
576,1.6994550181843968
577,1.6994550181843968
578,1.6994550181843968
579,1.6994550181843968
580,1.6994550181843968
581,1.6994550181843968
582,1.6994550181843968
583,1.6994550181843968
584,1.6994550181843968
585,1.6994550181843968
586,1.6994550181843968
587,1.6994550181843968
588,1.6924080703263222
589,1.6924080703263222
590,1.6924080703263222
591,1.6924080703263222
592,1.6924080703263222
593,1.6924080703263222
594,1.6924080703263222
595,1.6924080703263222
596,1.6924080703263222
597,1.6924080703263222
598,1.6612092017597966
599,1.6612092017597966
600,1.6612092017597966
601,1.6612092017597966
602,1.6612092017597966
603,1.6612092017597966
604,1.6587247139712185
605,1.639969277345501
606,1.639969277345501
607,1.639969277345501
608,1.639969277345501
609,1.639969277345501
610,1.639969277345501
611,1.639969277345501
612,1.639969277345501
613,1.639969277345501
614,1.639969277345501
615,1.639969277345501
616,1.6388182521047105
617,1.6388182521047105
618,1.6388182521047105
619,1.6388182521047105
620,1.6388182521047105
621,1.6388182521047105
622,1.6388182521047105
623,1.6388182521047105
624,1.6388182521047105
625,1.6388182521047105
626,1.6388182521047105
627,1.6388182521047105
628,1.6388182521047105
629,1.6388182521047105
630,1.6388182521047105
631,1.6388182521047105
632,1.6388182521047105
633,1.6388182521047105
634,1.6388182521047105
635,1.6388182521047105
636,1.6388182521047105
637,1.6388182521047105
638,1.6388182521047105
639,1.6388182521047105
640,1.6388182521047105
641,1.6388182521047105
642,1.6388182521047105
643,1.6388182521047105
644,1.6388182521047105
645,1.6388182521047105
646,1.6388182521047105
647,1.6388182521047105
648,1.6388182521047105
649,1.6122919020838895
650,1.5771863074980983
651,1.5771863074980983
652,1.5771863074980983
653,1.5771863074980983
654,1.5771863074980983
655,1.5771863074980983
656,1.5771863074980983
657,1.5771863074980983
658,1.5771863074980983
659,1.5771863074980983
660,1.5771863074980983
661,1.5771863074980983
662,1.5771863074980983
663,1.5771863074980983
664,1.5771863074980983
665,1.5771863074980983
666,1.5771863074980983
667,1.5771863074980983
668,1.5660955629324211
669,1.5660955629324211
670,1.5660955629324211
671,1.5660955629324211
672,1.5660955629324211
673,1.5660955629324211
674,1.5604599759705815
675,1.5604599759705815
676,1.5604599759705815
677,1.5604599759705815
678,1.5604599759705815
679,1.5604599759705815
680,1.5604599759705815
681,1.5602601158503306
682,1.5602601158503306
683,1.5602601158503306
684,1.5602601158503306
685,1.5602601158503306
686,1.5602601158503306
687,1.5602601158503306
688,1.5602601158503306
689,1.5602601158503306
690,1.5602601158503306
691,1.5602601158503306
692,1.5602601158503306
693,1.5602601158503306
694,1.5602601158503306
695,1.5602601158503306
696,1.5602601158503306
697,1.5602601158503306
698,1.5602601158503306
699,1.5602601158503306
700,1.5602601158503306
701,1.5165425903208607
702,1.5165425903208607
703,1.5165425903208607
704,1.5165425903208607
705,1.5165425903208607
706,1.5165425903208607
707,1.5165425903208607
708,1.5165425903208607
709,1.5165425903208607
710,1.5165425903208607
711,1.5072204155324358
712,1.5072204155324358
713,1.4798921333589257
714,1.4798921333589257
715,1.4750675132974729
716,1.4750675132974729
717,1.4750675132974729
718,1.4750675132974729
719,1.4750675132974729
720,1.4750675132974729
721,1.4750675132974729
722,1.4750675132974729
723,1.4750675132974729
724,1.4750675132974729
725,1.4750675132974729
726,1.4750675132974729
727,1.4750675132974729
728,1.4750675132974729
729,1.4750675132974729
730,1.4750675132974729
731,1.4750675132974729
732,1.4750675132974729
733,1.4750675132974729
734,1.4718044457688437
735,1.4718044457688437
736,1.4718044457688437
737,1.4718044457688437
738,1.4718044457688437
739,1.4566138775611794
740,1.4566138775611794
741,1.4566138775611794
742,1.4566138775611794
743,1.4566138775611794
744,1.4566138775611794
745,1.4566138775611794
746,1.4566138775611794
747,1.4566138775611794
748,1.4566138775611794
749,1.4566138775611794
750,1.4566138775611794
751,1.4566138775611794
752,1.4566138775611794
753,1.4566138775611794
754,1.4566138775611794
755,1.4566138775611794
756,1.4566138775611794
757,1.4566138775611794
758,1.4566138775611794
759,1.4566138775611794
760,1.4566138775611794
761,1.4566138775611794
762,1.4566138775611794
763,1.4566138775611794
764,1.4566138775611794
765,1.4566138775611794
766,1.4466048294570073
767,1.4466048294570073
768,1.4466048294570073
769,1.4466048294570073
770,1.4466048294570073
771,1.4466048294570073
772,1.4466048294570073
773,1.4351233329233395
774,1.4351233329233395
775,1.4351233329233395
776,1.4351233329233395
777,1.4351233329233395
778,1.4351233329233395
779,1.4351233329233395
780,1.4351233329233395
781,1.4351233329233395
782,1.4351233329233395
783,1.4351233329233395
784,1.4351233329233395
785,1.4351233329233395
786,1.4351233329233395
787,1.4351233329233395
788,1.4351233329233395
789,1.4295391852399997
790,1.4295391852399997
791,1.4295391852399997
792,1.4295391852399997
793,1.4295391852399997
794,1.4295391852399997
795,1.4295391852399997
796,1.4295391852399997
797,1.4295391852399997
798,1.4295391852399997
799,1.4295391852399997
800,1.4295391852399997
801,1.4295391852399997
802,1.4295391852399997
803,1.4295391852399997
804,1.4295391852399997
805,1.4295391852399997
806,1.4295391852399997
807,1.4295391852399997
808,1.4295391852399997
809,1.4295391852399997
810,1.4295391852399997
811,1.4295391852399997
812,1.4295391852399997
813,1.4295391852399997
814,1.4295391852399997
815,1.4295391852399997
816,1.4295391852399997
817,1.4295391852399997
818,1.4295391852399997
819,1.4295391852399997
820,1.4295391852399997
821,1.4295391852399997
822,1.4295391852399997
823,1.4295391852399997
824,1.4295391852399997
825,1.4295391852399997
826,1.4295391852399997
827,1.4295391852399997
828,1.4295391852399997
829,1.4295391852399997
830,1.4295391852399997
831,1.4295391852399997
832,1.427838557186209
833,1.427838557186209
834,1.427838557186209
835,1.427838557186209
836,1.427838557186209
837,1.427838557186209
838,1.427838557186209
839,1.427838557186209
840,1.427838557186209
841,1.427838557186209
842,1.427838557186209
843,1.427838557186209
844,1.427838557186209
845,1.427838557186209
846,1.427838557186209
847,1.427838557186209
848,1.427838557186209
849,1.427838557186209
850,1.427838557186209
851,1.427838557186209
852,1.427838557186209
853,1.427838557186209
854,1.4270202997657064
855,1.4270202997657064
856,1.4270202997657064
857,1.4270202997657064
858,1.4270202997657064
859,1.4270202997657064
860,1.4270202997657064
861,1.4270202997657064
862,1.4270202997657064
863,1.426586279662554
864,1.426586279662554
865,1.426586279662554
866,1.426586279662554
867,1.426586279662554
868,1.426586279662554
869,1.426586279662554
870,1.426586279662554
871,1.426586279662554
872,1.426586279662554
873,1.426586279662554
874,1.426586279662554
875,1.426586279662554
876,1.426586279662554
877,1.426586279662554
878,1.426586279662554
879,1.426586279662554
880,1.426586279662554
881,1.426586279662554
882,1.426586279662554
883,1.426586279662554
884,1.426586279662554
885,1.426586279662554
886,1.426586279662554
887,1.426586279662554
888,1.426586279662554
889,1.426586279662554
890,1.4144446473779742
891,1.4144446473779742
892,1.4144446473779742
893,1.4144446473779742
894,1.4144446473779742
895,1.4144446473779742
896,1.4144446473779742
897,1.4144446473779742
898,1.4144446473779742
899,1.4144446473779742
900,1.4144446473779742
901,1.4070731813159847
902,1.4070731813159847
903,1.4070731813159847
904,1.4070731813159847
905,1.4070731813159847
906,1.4070731813159847
907,1.4070731813159847
908,1.4070731813159847
909,1.4070731813159847
910,1.4070731813159847
911,1.4070731813159847
912,1.4070731813159847
913,1.4070731813159847
914,1.4070731813159847
915,1.4070731813159847
916,1.4070731813159847
917,1.3923828563436327
918,1.3923828563436327
919,1.3923828563436327
920,1.3923828563436327
921,1.3923828563436327
922,1.3923828563436327
923,1.3923828563436327
924,1.3923828563436327
925,1.3923828563436327
926,1.3923828563436327
927,1.3923828563436327
928,1.3923828563436327
929,1.3923828563436327
930,1.3923828563436327
931,1.3923828563436327
932,1.3923828563436327
933,1.3923828563436327
934,1.3923828563436327
935,1.3923828563436327
936,1.3923828563436327
937,1.3923828563436327
938,1.3923828563436327
939,1.3923828563436327
940,1.3923828563436327
941,1.3923828563436327
942,1.3923828563436327
943,1.3923828563436327
944,1.3923828563436327
945,1.3923828563436327
946,1.3923828563436327
947,1.3923828563436327
948,1.3923828563436327
949,1.3923828563436327
950,1.3923828563436327
951,1.3923828563436327
952,1.3923828563436327
953,1.3923828563436327
954,1.3923828563436327
955,1.3923828563436327
956,1.3923828563436327
957,1.3923828563436327
958,1.3923828563436327
959,1.3923828563436327
960,1.3923828563436327
961,1.3923828563436327
962,1.3923828563436327
963,1.3923828563436327
964,1.3923828563436327
965,1.3923828563436327
966,1.3923828563436327
967,1.3923828563436327
968,1.3923828563436327
969,1.3923828563436327
970,1.3923828563436327
971,1.3923828563436327
972,1.3923828563436327
973,1.3923828563436327
974,1.3923828563436327
975,1.3923828563436327
976,1.3923828563436327
977,1.385537999703448
978,1.385537999703448
979,1.385537999703448
980,1.385537999703448
981,1.385537999703448
982,1.385537999703448
983,1.385537999703448
984,1.385537999703448
985,1.385537999703448
986,1.385537999703448
987,1.385537999703448
988,1.385537999703448
989,1.385537999703448
990,1.385537999703448
991,1.385537999703448
992,1.385537999703448
993,1.385537999703448
994,1.385537999703448
995,1.385537999703448
996,1.385537999703448
997,1.385537999703448
998,1.385537999703448
999,1.385537999703448
1000,1.385537999703448
